acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.503,0.651,197040.0,0.465,77iRifbhkJGvGBBRNykUwN,0.0455,4.0,0.495,-7.538,1.0,58.0,2016-09-09,0.0328,The End Of Comedy,Drugdealer,Suddenly,107.75,4.0,audio_features,spotify:track:77iRifbhkJGvGBBRNykUwN,0.585
0.646,0.0903,353732.0,0.362,31LKL7XfxR1PTm6Or9KTKv,0.402,7.0,0.106,-8.929,0.0,55.0,2019-04-05,0.0337,Titanic Rising,Weyes Blood,Movies,74.729,4.0,audio_features,spotify:track:31LKL7XfxR1PTm6Or9KTKv,0.0964
0.114,0.679,183525.0,0.71,6IY3cC281mz9q0bViUEldz,0.00322,8.0,0.255,-5.009,0.0,60.0,2017-07-28,0.0321,Content,Joywave,It's A Trip!,97.99,4.0,audio_features,spotify:track:6IY3cC281mz9q0bViUEldz,0.685
0.856,0.633,325155.0,0.565,1iJdIZU5Ffgixa92wrcZZC,0.00542,11.0,0.381,-11.125,1.0,49.0,2017-05-05,0.0614,Meeting Of The Waters,Animal Collective,Man Of Oil,109.951,4.0,audio_features,spotify:track:1iJdIZU5Ffgixa92wrcZZC,0.77
0.354,0.791,168253.0,0.506,77jyU4a7UBdbpZvaYcWYtX,2.47e-05,11.0,0.109,-4.702,0.0,2.0,2016-08-18,0.368,Help,Weaves,Help,77.74,4.0,audio_features,spotify:track:77jyU4a7UBdbpZvaYcWYtX,0.447
0.0801,0.706,229120.0,0.699,5Xan7abEunERTQRmECYSKq,0.166,8.0,0.17,-3.944,1.0,1.0,2015-12-07,0.171,Drag Me Down,Weaves,Drag Me Down,144.857,4.0,audio_features,spotify:track:5Xan7abEunERTQRmECYSKq,0.489
0.148,0.485,313000.0,0.659,7fGxqyHFmWrs3GhpwSht4H,0.00295,5.0,0.171,-5.83,1.0,33.0,2017-07-13,0.0293,EGO,RAC,Fever,85.996,4.0,audio_features,spotify:track:7fGxqyHFmWrs3GhpwSht4H,0.121
0.0415,0.479,210372.0,0.561,3rmdMmjzZUTU1kXrLfnCrM,1.07e-05,0.0,0.171,-7.499,1.0,43.0,2018-05-18,0.0324,Someday / Saturday,Phantogram,Someday,97.017,4.0,audio_features,spotify:track:3rmdMmjzZUTU1kXrLfnCrM,0.0429
0.112,0.575,144800.0,0.492,5uCOnavuGsjM1rQOPMxKRH,2.28e-05,10.0,0.094,-7.022,1.0,38.0,2018-05-18,0.0276,Someday / Saturday,Phantogram,Saturday,122.98,4.0,audio_features,spotify:track:5uCOnavuGsjM1rQOPMxKRH,0.208
0.839,0.292,220050.0,0.433,4BtnAROeVETnXcUHDK2Ahn,3.45e-05,0.0,0.144,-8.586,1.0,40.0,2019-03-08,0.0387,Beware of the Dogs,Stella Donnelly,Lunch,80.866,4.0,audio_features,spotify:track:4BtnAROeVETnXcUHDK2Ahn,0.217
0.0841,0.482,215327.0,0.441,0IKnrWWYY2cz0mHWKCft6A,0.0,4.0,0.105,-6.878,1.0,41.0,2019-03-08,0.0354,Beware of the Dogs,Stella Donnelly,Beware of the Dogs,75.28,3.0,audio_features,spotify:track:0IKnrWWYY2cz0mHWKCft6A,0.395
0.0383,0.496,201667.0,0.464,57mUVlvVkKYelyRMBSXgKx,0.00329,2.0,0.177,-7.032,1.0,3.0,2018-11-16,0.028,Cote,COTE,Cruel,105.053,4.0,audio_features,spotify:track:57mUVlvVkKYelyRMBSXgKx,0.159
0.0658,0.616,190482.0,0.649,0P9cVrBufbEl8EKoiDj8Tz,0.592,0.0,0.212,-8.07,1.0,3.0,2018-11-16,0.0247,Cote,COTE,Meet Me in the Morning,132.462,4.0,audio_features,spotify:track:0P9cVrBufbEl8EKoiDj8Tz,0.765
0.534,0.709,213633.0,0.464,42ri8tCtPeHfGQJTo7zIVX,0.575,7.0,0.0833,-8.481,1.0,44.0,2018-02-15,0.0287,Small Foreign Faction,Haley Blais,Small Foreign Faction,113.983,4.0,audio_features,spotify:track:42ri8tCtPeHfGQJTo7zIVX,0.556
0.0978,0.71,229017.0,0.448,4MGoadolIhue3MZ3bKgqR1,0.111,0.0,0.111,-10.875,1.0,33.0,2018-06-29,0.0313,Rabbit,Moon Panda,Rabbit,106.03,4.0,audio_features,spotify:track:4MGoadolIhue3MZ3bKgqR1,0.387
0.0399,0.776,147867.0,0.562,7K0iidDYDudSm9BoSt901M,0.0,9.0,0.138,-6.901,1.0,75.0,2019-05-08,0.363,RICKY,Denzel Curry,RICKY,169.03,4.0,audio_features,spotify:track:7K0iidDYDudSm9BoSt901M,0.521
0.0259,0.604,267156.0,0.66,37HiXJE6AXeMa9u8g1AH56,0.244,1.0,0.294,-9.589,1.0,40.0,2019-03-29,0.175,Guns,Quelle Chris,Obamacare,78.724,4.0,audio_features,spotify:track:37HiXJE6AXeMa9u8g1AH56,0.227
0.166,0.607,245333.0,0.713,0ToC28lLiwEKyQdN4FXypS,0.0,5.0,0.769,-6.206,1.0,58.0,2018-07-19,0.243,1998 TRUMAN,BROCKHAMPTON,1998 TRUMAN,134.994,4.0,audio_features,spotify:track:0ToC28lLiwEKyQdN4FXypS,0.482
0.278,0.765,153351.0,0.542,6JyEh4kl9DLwmSAoNDRn5b,1.87e-05,1.0,0.609,-6.755,1.0,70.0,2018-06-08,0.39,KIDS SEE GHOSTS,KIDS SEE GHOSTS,4th Dimension,171.945,4.0,audio_features,spotify:track:6JyEh4kl9DLwmSAoNDRn5b,0.734
0.359,0.409,280842.0,0.678,6TodWdTSDfzwgYynTZSvJn,4.76e-06,9.0,0.167,-7.731,1.0,75.0,2018-07-20,0.0878,Head In The Clouds,88rising,Midsummer Madness,89.968,4.0,audio_features,spotify:track:6TodWdTSDfzwgYynTZSvJn,0.168
0.0171,0.64,188615.0,0.653,6V0PPYLaQ5fCAPftwIgpuN,0.000215,5.0,0.119,-6.039,1.0,66.0,2019-01-24,0.0281,Moderation,Florence + The Machine,Moderation,129.986,4.0,audio_features,spotify:track:6V0PPYLaQ5fCAPftwIgpuN,0.611
0.925,0.522,292453.0,0.231,34KZBn42h1icn5V2w0YWEN,0.0,6.0,0.116,-7.229,1.0,54.0,2019-01-01,0.0374,My Mistake (Piano Version),Gabrielle Aplin,My Mistake - Piano Version,127.424,4.0,audio_features,spotify:track:34KZBn42h1icn5V2w0YWEN,0.497
0.00626,0.532,246441.0,0.632,1y4DajjvaZq3GDIKsYdhDr,0.0,7.0,0.0978,-5.419,0.0,41.0,2014-09-03,0.0366,Cathedrals EP,Cathedrals,Harlem,143.983,4.0,audio_features,spotify:track:1y4DajjvaZq3GDIKsYdhDr,0.402
0.712,0.41,260867.0,0.364,37VJ3D6WLJcKjW8N4Ccodk,1.32e-05,9.0,0.152,-8.517,1.0,24.0,2006,0.0351,The Life Pursuit,Belle & Sebastian,Act of the Apostle II,150.911,4.0,audio_features,spotify:track:37VJ3D6WLJcKjW8N4Ccodk,0.245
0.613,0.57,300801.0,0.504,5MBKDKheLzcGoRYGWpFNNg,0.124,4.0,0.111,-7.417,1.0,42.0,2016-10-28,0.028,Away for All Time,Many Voices Speak,Video Child,119.975,4.0,audio_features,spotify:track:5MBKDKheLzcGoRYGWpFNNg,0.288
0.478,0.53,369307.0,0.652,4ZB6Wrh3QUnjfl9ciZXeGh,0.28,10.0,0.106,-10.656,0.0,47.0,2018-08-31,0.0339,Tank Town,Many Voices Speak,Bony Shelter,84.023,4.0,audio_features,spotify:track:4ZB6Wrh3QUnjfl9ciZXeGh,0.323
0.149,0.543,205893.0,0.549,41oqThgUF4yiNz77TazXtl,0.082,0.0,0.114,-6.497,1.0,55.0,2017-01-09,0.0306,Now & Then,Sjowgren,Now & Then,80.079,4.0,audio_features,spotify:track:41oqThgUF4yiNz77TazXtl,0.404
0.591,0.444,211120.0,0.376,1jCfkIVUwdHAne3qnj3LLq,0.0476,0.0,0.0884,-13.598,1.0,21.0,2018-02-09,0.0687,Expectations,Wild Child,Follow Me,92.019,4.0,audio_features,spotify:track:1jCfkIVUwdHAne3qnj3LLq,0.0798
0.791,0.711,174400.0,0.258,22wcNdDej7sJO0UnaerFN7,0.000879,10.0,0.101,-8.956,0.0,54.0,2017-03-23,0.0693,World On Fire,Louis The Child,World On Fire,75.007,4.0,audio_features,spotify:track:22wcNdDej7sJO0UnaerFN7,0.423
0.832,0.506,373867.0,0.466,1kJYmG59kwtbs2rvkqpzB6,0.648,8.0,0.153,-12.183,1.0,46.0,2016-07-29,0.0372,Looking for Knives,DYAN,Looking for Knives,110.132,4.0,audio_features,spotify:track:1kJYmG59kwtbs2rvkqpzB6,0.0859
0.736,0.498,280000.0,0.501,3Dce4qBRrIbSB2kbgq5H9r,0.239,10.0,0.111,-12.513,1.0,23.0,2018-07-13,0.0479,Absence,DYAN,Absence,160.058,4.0,audio_features,spotify:track:3Dce4qBRrIbSB2kbgq5H9r,0.346
0.154,0.601,213000.0,0.499,5t8y1PHIZdLcNLws8vg4rf,6e-06,8.0,0.265,-6.795,1.0,41.0,2017-07-21,0.0342,Happy Birthday,Blood Cultures,Phospholipid,94.867,4.0,audio_features,spotify:track:5t8y1PHIZdLcNLws8vg4rf,0.402
0.658,0.661,273533.0,0.585,62oCnK99vT8HOgwPsvXuiM,0.876,5.0,0.102,-11.255,1.0,59.0,2017-09-15,0.0367,Snow,Angus & Julia Stone,Chateau,129.98,4.0,audio_features,spotify:track:62oCnK99vT8HOgwPsvXuiM,0.606
0.0169,0.631,186680.0,0.565,1jTx0HJI6hPexjNKAQa8jB,0.0921,11.0,0.543,-6.56,0.0,42.0,2018-11-27,0.0661,1996,Wild Child,1996,187.996,4.0,audio_features,spotify:track:1jTx0HJI6hPexjNKAQa8jB,0.719
0.201,0.781,234880.0,0.424,7jyEUpROtvKSVlMwDsuZjp,0.0,2.0,0.145,-8.583,1.0,23.0,2018-02-09,0.0357,Expectations,Wild Child,Think It Over,108.008,4.0,audio_features,spotify:track:7jyEUpROtvKSVlMwDsuZjp,0.194
0.104,0.693,257827.0,0.624,6l6vgauYDMbKOfg5OX5sP2,0.000215,11.0,0.0659,-6.459,0.0,27.0,2018-02-09,0.04,Expectations,Wild Child,Expectations,113.999,3.0,audio_features,spotify:track:6l6vgauYDMbKOfg5OX5sP2,0.526
0.555,0.64,234680.0,0.447,5KYmcAfpQxBeyiRyPxtleQ,0.00349,0.0,0.188,-9.651,1.0,12.0,2018-02-09,0.0322,Expectations,Wild Child,Leave It Alone,125.87,4.0,audio_features,spotify:track:5KYmcAfpQxBeyiRyPxtleQ,0.165
0.613,0.57,300801.0,0.504,5izGOmD48YmEZzsllvvuce,0.124,4.0,0.111,-7.417,1.0,0.0,2016-09-29,0.028,Video Child,Many Voices Speak,Video Child,119.975,4.0,audio_features,spotify:track:5izGOmD48YmEZzsllvvuce,0.288
0.139,0.662,196547.0,0.712,3GGg9FWBlAjrAvC16kazer,0.183,3.0,0.0403,-7.168,0.0,57.0,2015-04-10,0.29,Someday Somewhere,Mura Masa,Lovesick,87.847,4.0,audio_features,spotify:track:3GGg9FWBlAjrAvC16kazer,0.793
0.00179,0.559,177693.0,0.452,5PaViyJwv0XJbCcrnBNuAt,0.00135,0.0,0.376,-6.549,0.0,53.0,2016-10-07,0.0282,Three,Phantogram,Cruel World,80.038,4.0,audio_features,spotify:track:5PaViyJwv0XJbCcrnBNuAt,0.197
0.127,0.606,292440.0,0.428,0TA4r8kEKQz0one72rIv7f,0.614,7.0,0.131,-8.435,1.0,42.0,2017-11-06,0.0391,Waiting Room,Sjowgren,Waiting Room,145.992,4.0,audio_features,spotify:track:0TA4r8kEKQz0one72rIv7f,0.292
0.756,0.815,221372.0,0.551,59XAeiydEhfKapGu79U2lX,0.0383,0.0,0.176,-6.567,0.0,45.0,2016-06-12,0.0538,sotto voce,slenderbodies,sublime,133.392,4.0,audio_features,spotify:track:59XAeiydEhfKapGu79U2lX,0.853
0.2,0.454,211573.0,0.783,5wlBxdMkHKB6dacljNMeLb,0.00307,3.0,0.181,-4.224,1.0,2.0,2017-07-14,0.0501,Ultralife,Oh Wonder,Ultralife,95.195,4.0,audio_features,spotify:track:5wlBxdMkHKB6dacljNMeLb,0.488
0.249,0.637,224740.0,0.476,6Nl5jjykRxa7salssZ0aER,1.07e-06,11.0,0.115,-7.135,0.0,5.0,2015-09-04,0.058,Oh Wonder,Oh Wonder,Without You,87.019,4.0,audio_features,spotify:track:6Nl5jjykRxa7salssZ0aER,0.265
0.825,0.557,264587.0,0.363,6CTTipcCa8RZX8aY0mttHa,0.00433,8.0,0.0771,-7.956,1.0,48.0,2016-08-19,0.0292,Same Drugs,MisterWives,Same Drugs,89.812,4.0,audio_features,spotify:track:6CTTipcCa8RZX8aY0mttHa,0.272
0.0617,0.771,237012.0,0.483,3MtKIXNloZcpMhk2WEl9oZ,0.000319,8.0,0.107,-8.169,1.0,31.0,2016-07-29,0.0395,Better Parts,Tiny Tiny,Better Parts,95.977,4.0,audio_features,spotify:track:3MtKIXNloZcpMhk2WEl9oZ,0.482
0.0299,0.587,199563.0,0.749,4sly2AxpMPR5IDdb3t6772,0.281,5.0,0.11,-5.71,0.0,28.0,2018-01-11,0.0252,Follow Me,The Shacks,Follow Me,105.472,4.0,audio_features,spotify:track:4sly2AxpMPR5IDdb3t6772,0.574
0.0136,0.325,201462.0,0.689,3FmJAfw1lh4VcmrlXSBrAC,0.515,0.0,0.451,-7.338,1.0,41.0,2016-10-28,0.0656,The Shacks,The Shacks,This Strange Effect,212.558,4.0,audio_features,spotify:track:3FmJAfw1lh4VcmrlXSBrAC,0.747
0.427,0.448,221868.0,0.617,5EOyWTFvE2qdvKxX0ulIVN,0.00884,7.0,0.13,-9.364,0.0,39.0,2016-10-28,0.0482,The Shacks,The Shacks,Orchids,103.771,4.0,audio_features,spotify:track:5EOyWTFvE2qdvKxX0ulIVN,0.559
