acousticness,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,popularity,release_date,speechiness,spotify_album,spotify_artist,spotify_song,tempo,time_signature,type,uri,valence
0.387,0.634,178197.0,0.506,2DfspYTnWFOPlGKXJKnqXb,3.88e-05,11.0,0.123,-11.668,0.0,39.0,2018-01-11,0.0394,fabulist: extended,slenderbodies,blood to gold,85.203,4.0,audio_features,spotify:track:2DfspYTnWFOPlGKXJKnqXb,0.614
0.106,0.557,174798.0,0.814,099NgYQditsnMhePFr61Fl,0.0,8.0,0.0676,-5.37,1.0,45.0,2016-09-30,0.0498,Where'd Your Weekend Go?,The Mowgli's,Spacin Out,91.05,4.0,audio_features,spotify:track:099NgYQditsnMhePFr61Fl,0.795
0.289,0.537,243160.0,0.712,0iTpQYzJnYgh7kIxyq8A2O,0.00568,5.0,0.08,-5.597,1.0,68.0,2009-05-24,0.0286,Veckatimest,Grizzly Bear,Two Weeks,159.871,4.0,audio_features,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,0.704
0.107,0.534,305867.0,0.738,2ZRvcRcKdwQBjTAqj2XNJN,0.139,8.0,0.0871,-6.237,0.0,58.0,2017-08-18,0.0293,Painted Ruins,Grizzly Bear,Losing All Sense,96.053,4.0,audio_features,spotify:track:2ZRvcRcKdwQBjTAqj2XNJN,0.616
0.139,0.536,219840.0,0.781,5S6ZarSxSXuls410GuZLQS,0.0,1.0,0.0968,-4.848,1.0,0.0,2013-02-26,0.0386,Mutual Friends (Bonus Version),BOY,Little Numbers,191.802,4.0,audio_features,spotify:track:5S6ZarSxSXuls410GuZLQS,0.712
0.887,0.4,253013.0,0.525,4AmcmraFjVzFb9SQDNTRyl,0.00543,0.0,0.117,-11.294,1.0,61.0,2013-01-01,0.0435,If You Leave,Daughter,Youth,146.977,4.0,audio_features,spotify:track:4AmcmraFjVzFb9SQDNTRyl,0.408
0.633,0.599,180120.0,0.36,5pLpkaIRobcvPnUmclNv6o,5.44e-05,5.0,0.0849,-10.347,0.0,62.0,2015-09-04,0.032,Oh Wonder,Oh Wonder,Technicolour Beat,130.029,4.0,audio_features,spotify:track:5pLpkaIRobcvPnUmclNv6o,0.0956
0.42,0.792,228837.0,0.393,5kDGMyVaApebWfHvP1NP3Q,0.00278,9.0,0.0396,-11.571,1.0,1.0,2017-03-17,0.0549,Sky Blush,Matilda Lucas,Sky Blush,85.982,4.0,audio_features,spotify:track:5kDGMyVaApebWfHvP1NP3Q,0.806
0.65,0.549,236279.0,0.594,6cWZQNgaL8yLtezJvag9Y9,3.57e-05,8.0,0.127,-6.302,1.0,52.0,2015-06-03,0.0496,Pacing,Tep No,Pacing,99.936,4.0,audio_features,spotify:track:6cWZQNgaL8yLtezJvag9Y9,0.324
0.68,0.558,238640.0,0.47,3JeT6Xcv6MlEHHylk8SKQ1,0.914,7.0,0.532,-5.5,1.0,58.0,2009-06-22,0.0316,Ambivalence Avenue,Bibio,lovers’ carvings,118.06,4.0,audio_features,spotify:track:3JeT6Xcv6MlEHHylk8SKQ1,0.427
0.223,0.628,197625.0,0.83,3bhhM8sG53lsPYRpakieZB,0.0,5.0,0.151,-4.13,1.0,3.0,2016-03-11,0.0386,Swim,Fickle Friends,Swim,104.97,4.0,audio_features,spotify:track:3bhhM8sG53lsPYRpakieZB,0.691
0.487,0.452,284893.0,0.481,4gWHgb6xok2dydXnEm1On5,0.0,7.0,0.135,-10.769,1.0,43.0,2014-01-01,0.0441,The Hanging Gardens Of Beatenberg,Beatenberg,The Prince Of The Hanging Gardens,125.024,4.0,audio_features,spotify:track:4gWHgb6xok2dydXnEm1On5,0.355
0.12,0.658,217600.0,0.463,7i28aaEucsoEeEfZLHZHb1,0.00443,9.0,0.406,-12.774,1.0,43.0,2017-06-17,0.0359,Zest Pop,Mustard Service,Taking Up Space,90.055,4.0,audio_features,spotify:track:7i28aaEucsoEeEfZLHZHb1,0.749
0.017,0.641,288787.0,0.445,78iHBb0JY2JjcWp9AkKBlc,0.00632,0.0,0.111,-7.674,0.0,16.0,2015-09-11,0.0258,Wake,Social Studies,Drifty,107.615,4.0,audio_features,spotify:track:78iHBb0JY2JjcWp9AkKBlc,0.437
0.862,0.397,237405.0,0.188,3dJSC3yIV69Afxvme5qf5d,0.000615,8.0,0.126,-12.851,0.0,42.0,2015-04-18,0.0364,Demos,Sjowgren,Drifty,184.057,3.0,audio_features,spotify:track:3dJSC3yIV69Afxvme5qf5d,0.35
0.282,0.274,314067.0,0.13,6SHfaJ1GWWSbMNc7ekQgHp,3.93e-05,1.0,0.0797,-11.393,1.0,38.0,2010-09-21,0.0342,Epic,Sharon Van Etten,Love More,139.961,4.0,audio_features,spotify:track:6SHfaJ1GWWSbMNc7ekQgHp,0.0391
0.362,0.601,266400.0,0.432,2BtirGqfLckCNPF9x5WoFC,0.0561,7.0,0.106,-9.584,0.0,38.0,2018-03-30,0.0474,Be The One,Luna Shadows,Be The One,149.851,4.0,audio_features,spotify:track:2BtirGqfLckCNPF9x5WoFC,0.169
0.117,0.47,192002.0,0.74,1hbTCoAFpDbxkHy2B5yU29,0.0,11.0,0.103,-5.439,0.0,26.0,2019-02-13,0.356,Guns,Quelle Chris,Guns,70.472,4.0,audio_features,spotify:track:1hbTCoAFpDbxkHy2B5yU29,0.762
0.95,0.544,213373.0,0.316,0dcKsPZVWa64MvnoCes49q,0.7,4.0,0.0978,-11.666,1.0,65.0,2019-04-04,0.0307,Light Years,The National,Light Years,124.989,4.0,audio_features,spotify:track:0dcKsPZVWa64MvnoCes49q,0.173
0.822,0.556,245640.0,0.58,3Wx7jTOiNQir0Q9VpxYuhR,0.00594,1.0,0.111,-6.925,1.0,50.0,2019-04-03,0.0249,Cattails,Big Thief,Cattails,80.514,4.0,audio_features,spotify:track:3Wx7jTOiNQir0Q9VpxYuhR,0.702
0.0168,0.537,265920.0,0.772,3buy5Ooz6uNL48W1yBUzbM,0.208,5.0,0.0686,-7.367,1.0,49.0,2019-01-08,0.0492,Seventeen,Sharon Van Etten,Seventeen,127.097,4.0,audio_features,spotify:track:3buy5Ooz6uNL48W1yBUzbM,0.242
0.715,0.583,187036.0,0.527,5jEHZAJlxIf6bK9LkKnRH0,6.7e-06,11.0,0.154,-7.876,1.0,55.0,2019-01-01,0.0733,Song 31,Noname,Song 31,97.346,4.0,audio_features,spotify:track:5jEHZAJlxIf6bK9LkKnRH0,0.395
0.367,0.463,280187.0,0.462,0L6lVIgGqVHnmR3BIy8GHa,0.0012,1.0,0.356,-7.94,0.0,42.0,2019-01-17,0.0272,Andromeda,Weyes Blood,Andromeda,131.273,4.0,audio_features,spotify:track:0L6lVIgGqVHnmR3BIy8GHa,0.189
0.0559,0.483,357419.0,0.858,7CtuhUpzDJU73RF9stMgWC,0.00107,9.0,0.514,-2.94,0.0,46.0,2019-01-22,0.0346,Exits,Foals,Exits,188.055,4.0,audio_features,spotify:track:7CtuhUpzDJU73RF9stMgWC,0.712
0.153,0.526,276893.0,0.489,3VDRXEOQDjBsQyzbFs1qGa,0.103,1.0,0.135,-6.249,0.0,55.0,2014-03-07,0.22,Oddments,King Gizzard & The Lizard Wizard,Work This Time,113.913,1.0,audio_features,spotify:track:3VDRXEOQDjBsQyzbFs1qGa,0.53
0.301,0.629,306760.0,0.579,6XVDZoNVGvWhfSoqQhjJZI,0.22,10.0,0.116,-8.544,1.0,55.0,2017-06-09,0.0255,Capacity,Big Thief,Mythological Beauty,106.673,4.0,audio_features,spotify:track:6XVDZoNVGvWhfSoqQhjJZI,0.475
0.0803,0.586,126698.0,0.614,2HLtRAcBAWd4y7TfVVoIpm,1.94e-05,4.0,0.152,-7.275,1.0,64.0,2017-06-16,0.0307,Bedroom Tapes,Jakob Ogawa,Let It Pass,88.222,4.0,audio_features,spotify:track:2HLtRAcBAWd4y7TfVVoIpm,0.301
0.75,0.67,141587.0,0.419,41o2ydrj7Xm9Yt5odIBqq4,0.135,6.0,0.0976,-10.523,0.0,63.0,2018-04-05,0.0751,Velvet Light,Jakob Ogawa,Velvet Light,77.919,4.0,audio_features,spotify:track:41o2ydrj7Xm9Yt5odIBqq4,0.513
0.132,0.698,165391.0,0.542,4rCKRVJZKVysScn2piDuOT,0.00117,2.0,0.199,-4.317,1.0,53.0,2018-03-02,0.131,Superorganism,Superorganism,Something For Your M.I.N.D.,140.096,4.0,audio_features,spotify:track:4rCKRVJZKVysScn2piDuOT,0.664
0.691,0.581,216693.0,0.455,6oQr3o6tXx7ESYG2sHpNMl,3.38e-05,2.0,0.128,-6.778,1.0,50.0,2018-07-13,0.0348,Still Run,Wet,Still Run (feat. Starchild & The New Romantic),113.761,4.0,audio_features,spotify:track:6oQr3o6tXx7ESYG2sHpNMl,0.207
0.073,0.754,121347.0,0.342,5qHirGR7M9tdm6C17DlzSY,0.0,10.0,0.193,-8.677,0.0,78.0,2018-08-15,0.0991,ONEPOINTFIVE,Aminé,REEL IT IN,128.981,4.0,audio_features,spotify:track:5qHirGR7M9tdm6C17DlzSY,0.423
0.119,0.598,213699.0,0.584,62crJjeje0T8g5N3Tuq00V,0.000427,9.0,0.121,-10.079,1.0,61.0,2017-08-22,0.0533,Summer's Gone,NoMBe,Summer's Gone,145.937,4.0,audio_features,spotify:track:62crJjeje0T8g5N3Tuq00V,0.188
0.00239,0.581,242172.0,0.914,0t8L9kP2PIg8WnJZc1sGhV,0.0672,7.0,0.357,-5.577,1.0,43.0,2018-02-16,0.0359,In a Poem Unlimited,U.S. Girls,Pearly Gates,88.951,4.0,audio_features,spotify:track:0t8L9kP2PIg8WnJZc1sGhV,0.748
0.613,0.388,270095.0,0.322,11r8xMuVTS66RjtYgLneRw,0.000534,2.0,0.0887,-8.933,1.0,26.0,2018-05-23,0.0356,Fallingwater,Maggie Rogers,Fallingwater,86.739,4.0,audio_features,spotify:track:11r8xMuVTS66RjtYgLneRw,0.454
0.938,0.418,273467.0,0.273,46Vogr8UvzcVPAgDvBpDIr,4.06e-05,0.0,0.0897,-8.887,1.0,53.0,2017-10-27,0.0305,Turn Out the Lights,Julien Baker,Appointments,110.623,3.0,audio_features,spotify:track:46Vogr8UvzcVPAgDvBpDIr,0.0585
0.351,0.699,219039.0,0.488,7o0pIPVWsYkjppWG909ieo,0.00135,2.0,0.115,-7.879,1.0,22.0,2015-10-02,0.0426,Fools,Wild Child,Meadows,124.991,4.0,audio_features,spotify:track:7o0pIPVWsYkjppWG909ieo,0.186
0.843,0.33,284232.0,0.152,4LaV7WF9nTy1NFOXZYtDgy,0.0,3.0,0.219,-15.073,1.0,20.0,2017-11-09,0.0358,Inure - EP,St. South,Safe,98.157,4.0,audio_features,spotify:track:4LaV7WF9nTy1NFOXZYtDgy,0.0376
0.32,0.348,231931.0,0.207,5J34dOCc5JyPXNAvGS3D3F,3.17e-06,4.0,0.384,-10.816,1.0,0.0,2017-11-03,0.054,Grace,Racoon Racoon,Grace,167.584,3.0,audio_features,spotify:track:5J34dOCc5JyPXNAvGS3D3F,0.145
0.11,0.579,185560.0,0.63,35vxAlob7VdBrGKU2hnpOU,0.00427,5.0,0.369,-8.275,1.0,36.0,2015-11-06,0.289,Post Knight Errant,Boom Forest,Been,82.899,4.0,audio_features,spotify:track:35vxAlob7VdBrGKU2hnpOU,0.311
0.32,0.316,267093.0,0.543,0YTyoeb6lyUTiLBIVJhl1Y,0.171,7.0,0.124,-7.099,1.0,42.0,2016-09-19,0.0319,Love and War,Fleurie,Sirens,136.742,4.0,audio_features,spotify:track:0YTyoeb6lyUTiLBIVJhl1Y,0.041
0.133,0.729,194667.0,0.381,516ILYgvDdMV4QzeKQzkhf,0.00095,1.0,0.557,-10.474,1.0,0.0,2017-04-21,0.0418,Vices,Una Mey,Vices,89.939,4.0,audio_features,spotify:track:516ILYgvDdMV4QzeKQzkhf,0.198
0.641,0.644,218333.0,0.473,7HrdrDCJWFRpU5eqgTJyHB,0.771,4.0,0.129,-6.986,1.0,37.0,2015-09-04,0.029,Friends,Brijs,Friends,107.995,4.0,audio_features,spotify:track:7HrdrDCJWFRpU5eqgTJyHB,0.288
0.158,0.529,290128.0,0.626,7mE57yFVWevAttx4HvLZKi,0.587,6.0,0.114,-8.066,0.0,55.0,2017-06-23,0.049,Vera,Crooked Colours,Flow,117.985,4.0,audio_features,spotify:track:7mE57yFVWevAttx4HvLZKi,0.231
0.145,0.563,231000.0,0.466,023DWrHHWSjXF7cBJLFu4s,0.801,11.0,0.123,-9.656,1.0,39.0,2017-06-06,0.0282,Suburban Lore,Ten Sleep,Darkroom,79.0,4.0,audio_features,spotify:track:023DWrHHWSjXF7cBJLFu4s,0.184
0.131,0.478,209960.0,0.552,0uSdPf2hj1cVHBFBjCC1Xr,0.159,2.0,0.103,-6.46,1.0,43.0,1997-11-18,0.0337,The Lonesome Crowded West,Modest Mouse,Polar Opposites,175.945,4.0,audio_features,spotify:track:0uSdPf2hj1cVHBFBjCC1Xr,0.891
0.215,0.614,200058.0,0.534,5ZSyO6LRzLgoQQW2yT7pAP,0.000166,7.0,0.0859,-5.244,1.0,32.0,2016-10-28,0.032,Silver Lining,Evan Wize,Silver Lining,109.933,4.0,audio_features,spotify:track:5ZSyO6LRzLgoQQW2yT7pAP,0.156
0.184,0.791,171392.0,0.494,6zlBoRMKQv2UyrafMVoQlq,0.0182,9.0,0.482,-8.705,1.0,58.0,2019-02-26,0.347,CLONES,Tierra Whack,CLONES,146.003,4.0,audio_features,spotify:track:6zlBoRMKQv2UyrafMVoQlq,0.6
0.392,0.663,262520.0,0.522,38ydcsbayM4oX21Hhu84DT,5.41e-06,1.0,0.197,-8.741,1.0,63.0,2014-05-27,0.0374,Are We There,Sharon Van Etten,Every Time the Sun Comes Up,99.765,4.0,audio_features,spotify:track:38ydcsbayM4oX21Hhu84DT,0.301
0.0831,0.611,340293.0,0.389,5movaV8AbXpYdmfs1ASxDr,0.0508,10.0,0.0936,-10.332,1.0,21.0,2006-02-07,0.0308,The Life Pursuit,Belle & Sebastian,Mornington Crescent,135.033,4.0,audio_features,spotify:track:5movaV8AbXpYdmfs1ASxDr,0.33
0.888,0.708,232720.0,0.19,6bdMVdLaBB781XzlMt2OpE,0.233,3.0,0.0805,-14.526,1.0,34.0,2016-07-29,0.0378,Looking for Knives,DYAN,Ooh Song,90.056,4.0,audio_features,spotify:track:6bdMVdLaBB781XzlMt2OpE,0.306
0.308,0.511,285151.0,0.594,7lwicoQ2H9yfQ4ItnNrdHv,0.00418,11.0,0.0344,-8.132,0.0,35.0,2017-04-28,0.0465,Pleasure,Feist,Pleasure,121.799,4.0,audio_features,spotify:track:7lwicoQ2H9yfQ4ItnNrdHv,0.356
